"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"C20",0.0132172324646365,0.0100671316269182,0.00193379329454234,0.00110410969541775,0.00345966498795578,0.0166194026892048,0.00919452204726464,0.0219159879573733,0.0185937778545685,0.00264474162089365,0.136719064760467,0.00450796392641937,0.073840436198961,0.0251272155928426,0.00870478942665872,0.00757365692781336,0.00467493134274351,0.020855079772445,0.00374447187161977,0.0157483993215998,0.00331987774873277,0.00840404726641012,0.00253208210349502,0.00042226793742374,0.00256228777752415,0.00254558546988767,0.00286487981610539,0.00115664332229402,0.00135141469272294,0.00146415606626293,0.001212066254996,0.000406989447468441,0.00115966876244753,0.000828251442303044,0.000755974855250208,0.00217493394124546,0.00520952682872358,0.00222004520281348,0.00110253688581746,0.000435974480426416,0.000292003644143647,0.000316962019535427,0.000534919982657428,0.00011177891663852,0.000264285158972647,0.000365855515293895,0.00364773964274694,0.00198115651843376,0.0013156470097491,0.00227449735966789,0.000820878961473265,0.00165481020391701,0.00255482756798645,0.00228063840404596,0
"C21",0.00260198772610503,0.000717923704464133,0.0004163659764084,0.000174895092135146,0.00175703882708453,0.00107708530526218,0.000591133314296548,0.000970094351442007,0.00107741083407847,0.000254330953921355,0.00445058944112854,0.0345665635599789,0.0022634897385744,0.000993404211928273,0.000817704753116385,0.000511639067210056,0.000839004886149979,0.00102372761403733,0.000649624494838931,0.00081208714989725,0.000461366320441712,0.000786675119507935,0.000800438862497466,0.000107224087035934,0.000202709430855284,0.00048016548406284,0.000363071637122501,0.000369621498592761,0.000406139950243414,0.00035341106305148,0.00046799429913042,0.00036354371928008,0.00047912040238336,0.000270213009529102,0.000356084233815007,0.000494655844517054,0.000415815607055535,0.000346291203931719,0.000406568823532267,0.000374173984397055,0.000216595543217677,0.000200286461378557,0.000258783683146816,2.55652104921208e-05,0.000267679216284111,0.000217543314282721,0.00602127252105229,0.000285096704682626,0.000817810447417075,0.00059277925059819,0.000532774446179513,0.000384923170391369,0.0187816864586125,0.000375460981320855,0
"C22",0.00616961254509691,0.00182623784447895,0.016228621912328,0.00140304283383996,0.0166248990988604,0.00642714918562997,0.0117006347229759,0.0109649871318168,0.00831490143247929,0.000422515887115559,0.0131957698862458,0.00324750791918343,0.0631950404027105,0.00770400623229413,0.00341804015941437,0.00684590725394437,0.00549073411972226,0.011178667687974,0.0134651236321704,0.0363343403133489,0.0116315155394911,0.0164062899310044,0.0163812788026613,0.00048131034446198,0.00104786677554967,0.000951370116632016,0.0152380261813158,0.00788556836233448,0.00513116494184896,0.001791403844523,0.00783464563700893,0.00244023980048463,0.00137740511389929,0.00235155307208579,0.00169323431921591,0.000590078063313008,0.000923786875406459,0.000874873154341951,0.0130130950283207,0.00126796702925284,0.00086229669342225,0.000456983289017996,0.000979008045296181,0.000132640306313046,0.000405040487870929,0.00033457766963194,0.00130195343746323,0.000894030744083139,0.000934559793801701,0.00190327013810209,0.000843868891349816,0.000943140729309795,0.00140867964003279,0.0011509434976593,0
"C23",0.00457006344757642,0.000526856720500719,0.000968583145493886,0.00566849731031833,0.00614662671364064,0.000474781858890627,0.00982230122629917,0.000929601778359061,0.000657587520382042,0.000641518073145708,0.00359213794467811,0.0015552840982814,0.00822925831304155,0.0897125920862553,0.0175648646157898,0.00254337162479539,0.0079952258840351,0.00564598167890454,0.00154451433884819,0.00852809435996439,0.00298650948342769,0.00168881118284321,0.00362980978100418,0.000454307842709326,0.00117399001349625,0.00225445781931838,0.0314415630335639,0.00248973578767633,0.00306016091759659,0.000729864897039471,0.00171601548514773,0.000503975432966794,0.000977837289269008,0.000985809870931323,0.000596429144369629,0.000612437969630931,0.000228289318400975,0.00116171477964028,0.00129585940318703,0.000196734306256357,5.37120042786325e-05,5.79645647833934e-05,7.29967664883997e-05,5.07391918802632e-05,5.6429156835806e-05,0.000103167214620561,0.000367895918393964,0.00027009858739458,0.000370880981955011,0.000500818039659429,0.00119096581607329,0.00214877583004931,0.000460836541938025,0.00114030532495239,0
"C24",0.000183900250305814,0.000448548113935917,0.00112321507272316,0.000412838099914054,0.000235568178742788,0.000800509916724592,0.000447949144161652,0.000502709829146629,0.000441571455680787,6.58575874168408e-05,0.000483889488113195,0.000141707493841001,0.000523756368748472,0.000392024743319582,0.000514964892709164,0.000402802570858682,0.000605738122781227,0.00104522161997194,0.00115095759212725,0.000855038593642983,0.00288354036506374,0.000557192994445874,0.00380028012769741,0.000144311631643723,0.000241619166546152,0.000108651819111892,0.000407062458166562,0.000181243702607695,0.000128508657514972,8.60930934595659e-05,0.000152192990816425,0.000558534013239707,0.000497577426739726,0.000183293327112711,8.77214808346031e-05,9.52921660674216e-05,0.000147114490290165,7.44193592022142e-05,0.000341919332211185,9.39795115848988e-05,4.91396468481529e-05,7.46195890791622e-05,8.32271018701e-05,1.15440203966122e-05,4.3889825754488e-05,6.60401692353261e-05,0.000371223907810088,9.29656537438508e-05,0.000193555828549732,7.89510091168765e-05,9.09369420225627e-05,5.33397282464291e-05,0.000150898471507139,0.000105286468926535,0
"C25",0.00633890759296255,0.00290036642633688,0.00506838128139591,0.0143772642895791,0.0139478190920421,0.00462172618056546,0.0208033737944915,0.00214956337830564,0.00616180700608194,0.0052175603814719,0.0069954792754871,0.00374192848741769,0.0241458644312108,0.0171735676526838,0.0162107981040308,0.129853829104177,0.018733504849589,0.0477364253359214,0.0907220222528308,0.0545865378624889,0.0669776404431747,0.0202828067417601,0.0172282611287773,0.00323372610096689,0.00168049836765698,0.00212995572663448,0.0177649270088867,0.0022523271270835,0.0015039000089633,0.00119345344102787,0.00122793870447877,0.00145589351640309,0.000299498239835873,0.00055459341877813,0.000537979096004136,0.000315533398035309,0.000496698034888028,0.00024598002330895,0.000692607422227831,0.000407378899208821,0.000271540250711649,0.000347016899367664,0.000628235948702982,0.000245973235185741,0.000153938302594667,0.000447602006654049,0.00533680577372004,0.000848461455102655,0.000374238660004501,0.000538596304595803,0.00894039186171517,0.000911733138224307,0.000912039307287046,0.00044481091447141,0
"C26",0.000488221584316766,0.00397027520588461,0.0010939499216375,0.000292878506222266,0.000498067038551935,0.000816773942576326,0.000820029507745393,0.00109516630612938,0.000827470656640146,6.76489333319981e-05,0.00186237283408172,0.000783190180459444,0.000630960170864129,0.000778800571076051,0.0034501894908159,0.00130004503162962,0.0446681023842313,0.0110344308196545,0.00339912123377217,0.00386033867930686,0.00281788016148833,0.00777707005212114,0.00636059601325527,0.000724729152865603,0.000563650396649218,0.000929008416771835,0.00061714320675557,0.000501362757010155,0.000479697549939124,0.000233397729855072,0.000472853294061082,0.00016854470205913,0.000369683536215357,0.000475758372377679,0.000474136822628956,0.000480021039523947,0.000488602995395807,0.00110286170487282,0.0146921202816409,0.00174055632209033,0.000269809369042835,0.00025944794562182,0.000432188246430453,0.000107870024640867,0.000189761489075164,0.000540577719562557,0.00602530000199085,0.00040182137331343,0.00127524011367097,0.000423464372069599,0.00795040274745703,0.0013577805752758,0.00594935351029319,0.000790355254039987,0
"C27",0.00105882932696297,0.000222921087399478,0.000694087481889474,0.000685899513653534,0.000316322273743376,0.000284988335616224,0.00227130405785522,0.000373465669388837,0.000453395992558506,4.6476260749051e-05,0.000602260912861908,0.000133363066513859,0.000994119497748979,0.000620767680095264,0.000736612322368679,0.000734712728888153,0.00814663900014201,0.0256931808330507,0.00565513705125306,0.00544511490383756,0.00219063879828669,0.00503150432725451,0.0106703839067988,0.00458124575903147,0.000386514197959645,0.000300394901027523,0.00267117384406152,0.000542338112214592,0.000532663444070931,0.000578845974419677,0.00183554651297115,0.000361987844928525,0.000454407598758062,0.000283758880703177,0.000910958371282614,9.0820719044557e-05,0.0002556183739459,0.000733834177920037,0.00350018356610017,0.000857802246098254,0.000242235820802724,0.000193485137607174,0.000315932712793357,7.58399050370205e-05,0.00012744112631363,0.00022928661141793,0.0011258615813651,0.000367840571145621,0.000297109271245005,0.000784679206713145,0.000971318950937068,0.000351557092666591,0.000180592656121338,0.00085128802908857,0
"C28",0.00216827124045795,0.00359006154821689,0.00356680076569548,0.00365351307319458,0.00503464896160835,0.00354776267542834,0.0137779265171604,0.0125099242155261,0.00959704898136319,0.00147807911269964,0.00466484012764636,0.00200925441753924,0.00638597272773327,0.00747680188031668,0.0170179039340034,0.00370732991644489,0.00661843601465928,0.0159859173762913,0.0431683878792951,0.0184626509635266,0.0126627600014344,0.00580321835790512,0.0124285305759678,0.00197459069207954,0.00964354788199662,0.00246960360000745,0.00452437141354847,0.00465670741064573,0.00196898066821961,0.000773379615291615,0.00147685569980636,0.000965250441334697,0.000885233140989904,0.000687753388127684,0.000726970133403503,0.000615586776993776,0.00162827815728157,0.00126991778818238,0.00193686649708055,0.000837445070309475,0.000468842021571455,0.000659882824996998,0.000629504474615179,0.000242600361891262,0.000355440693303582,0.000474425393271477,0.00565751758900658,0.00113586905339384,0.00124217527483192,0.000882281764478732,0.000916872844449561,0.000410821583286136,0.000842674411945606,0.00069623658255613,0
"C29",0.00285652698096474,0.0106199110586883,0.00105076705512718,0.000879423057656409,0.00152541192471206,0.00137669273948571,0.00509119879986901,0.0022452248306028,0.00182124522394024,0.000155887062548733,0.00239503064764334,0.000598935668448182,0.00325159630231584,0.00258994149982917,0.00282910849359752,0.00257732595481752,0.00202468056042343,0.00482506482821983,0.00776138330325983,0.0705307412209332,0.00306548563556648,0.00345966406148311,0.00668444438627533,0.000356208340174306,0.000991581772580993,0.00144621075869597,0.00170810149311683,0.02199189191674,0.00256315944148334,0.00125464222799696,0.0070690447209202,0.00100719492179719,0.00110229275003335,0.00157128451421995,0.00497848140540147,0.000630310593253401,0.00242465345640751,0.000942517408899509,0.00159408578310252,0.00174057736368159,0.000796900438534099,0.00107631831813795,0.000963736854273926,0.000225573485843128,0.000806428943768546,0.00135787021804631,0.00997721815475953,0.00139753127583105,0.00101105048948858,0.00522032186902468,0.00133257902288197,0.000557815593088482,0.0011033380201444,0.00103072060324367,0
